"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"a'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"aa",TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,0,0,0
"aa'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"aay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"aé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ai",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"an",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ao",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"au",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"b'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ba",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"be",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"berg",FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0
"bh'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"bha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bhae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bhay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"bhe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bhé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bhi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"bhoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bhu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bhy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"boo",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"br'",TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0
"bra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"brae",TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,0,0,0
"bray",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"bre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bré",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bri",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bro",TRUE,TRUE,TRUE,FALSE,1,0,0,0,0,0,0,0
"bru",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"bry",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bu",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"buy",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"by",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"c'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ca",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ça",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"cae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"cay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"çay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"ce",TRUE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"cé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ch'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"cha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"chae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"chaé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"chay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,1,0,0,0
"che",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ché",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"chi",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"cho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"choo",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"chu",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"chy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ci",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"cious",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"cius",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"co",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ço",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"coo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"cu",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"cuy",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"cy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"d'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"da",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"day",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"de",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dh'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"dha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhaé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dhe",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dhé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dhi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,1,0,0,0
"dhoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dhu",TRUE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"dhy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"di",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"do",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"doo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"dra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"drae",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"dray",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"dre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
