"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"a'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"aa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"aa'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ai",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"an",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ao",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"au",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"b'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ba",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"be",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"berg",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bh'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"bha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bhe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bhi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"bhu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bhy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"br'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"bra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"bre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bri",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bro",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"bru",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bry",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"bu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"by",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"c'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ca",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ça",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"cae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ce",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ch'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"cha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"chae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"che",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"chi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
